Proposal Title,Contributor(s),Prof. Affiliations,Verticals (max 3),Authority,Funding,Misc.,Agency/Exec. Office,Full Proposal,Supporting documents
Policy Priorities to Accelerate Deployment of Geothermal Energy,"Timothy Latimer,Sarah Jewett",Fervo Energy,"Energy,Infrastructure","New legislation,Existing authority",Fund no-fund option,"Tax Credit,Stimulus,Potential Reconciliation","DOE,USDA,TREAS",Geothermal Energy—Sustainable Job Creation through Construction of Lasting Infrastructure.docx.pdf (https://dl.airtable.com/.attachments/39f1784274e1ae2c4c157e368796af98/2d3e7770/GeothermalEnergySustainableJobCreationthroughConstructionofLastingInfrastructure.docx.pdf),"s2657.pdf (https://dl.airtable.com/.attachments/21dc6e46959e792a56c96e1d8ad4b7da/a8db7a8b/s2657.pdf),NREL_GeoVision_Analysis_Supporting_Task_Force_Report.pdf (https://dl.airtable.com/.attachments/4588b37228c63cdeedc60cc912697300/9f60a90c/NREL_GeoVision_Analysis_Supporting_Task_Force_Report.pdf)"
Expand the DOE State Energy Program,"""Lowell Ungar, Ph.D."",Jeff Genzer,Elizabeth Beardsley","American Council for an Energy-Efficient Economy, National Association of State Energy Officials, US Green Building Council, ex-GAO","Energy,Buildings & Affordable Housing",New legislation,Funding,Stimulus,DOE,"Expand the DOE State Energy Program_docx.pdf (https://dl.airtable.com/.attachments/899390aaee6a626ed7a371e97ae37c83/7a56940b/ExpandtheDOEStateEnergyProgram_docx.pdf),_Expansion of the State Energy Program (SEP).pdf (https://dl.airtable.com/.attachments/4c2f82cb03967df7f063ddb621254d41/841a4ffc/_ExpansionoftheStateEnergyProgramSEP.pdf),State Funding for Commercial Buildings Deep Energy Retrofits _docx.pdf (https://dl.airtable.com/.attachments/3cc94efb13870c3d20534b3a3d44c57c/d09e59f4/StateFundingforCommercialBuildingsDeepEnergyRetrofits_docx.pdf)",
"Electrification of Farm Equipment for US Agriculture 
",Albert Straus,Straus Family Creamery,"Infrastructure,Conservation & Ag.",New legislation,Funding,,"EPA,USDA",Electrification of Farm Equipment for US Agriculture .docx.pdf (https://dl.airtable.com/.attachments/7e8a87ab6624ea7498d0f168c600d0b3/0260d92a/ElectrificationofFarmEquipmentforUSAgriculture.docx.pdf),
Spread the benefits of clean energy with community solar: Executive Action,Richard Caperton,Arcadia Power,"Energy,Buildings & Affordable Housing,Equity & EJ","Existing authority,Executive order",No funding,"WH Press,Taskforce,Challenges/Awards","DOE,HUD,CEQ,FERC,WH",Spread the benefits of clean energy with community solar_ Executive Action_docx.pdf (https://dl.airtable.com/.attachments/5e48dfaf2c61e2772a6a38663ddd5c1d/9798e8d9/Spreadthebenefitsofcleanenergywithcommunitysolar_ExecutiveAction_docx.pdf),
Spread the benefits of clean energy with community solar: Regulatory Action,Richard Caperton,Arcadia Power,"Energy,Buildings & Affordable Housing,Equity & EJ",New regulations,No funding,WH Press,"DOE,HUD,CEQ,FERC",Spread the benefits of clean energy with community solar_ Regulatory Action_docx.pdf (https://dl.airtable.com/.attachments/5376ebce4daad73d0ed02669ba63cf54/d851dce8/Spreadthebenefitsofcleanenergywithcommunitysolar_RegulatoryAction_docx.pdf),
Spread the Benefits of Clean Energy with Community Solar: Legislative Action,Richard Caperton,Arcadia Power,"Energy,Buildings & Affordable Housing,Equity & EJ",New legislation,No funding,WH Press,"DOE,HUD,CEQ,FERC",Spread the Benefits of Clean Energy with Community Solar_docx.pdf (https://dl.airtable.com/.attachments/a7a11cb099decca4d5a2adea919d9f02/141f7810/SpreadtheBenefitsofCleanEnergywithCommunitySolar_docx.pdf),
Weatherization and Electrification Assistance Program (WEAP),"Sadie McKeown ,Atalia Howe,Danielle Donnelly,Paul Ciminello",The Community Preservation Corporation,"Energy,Buildings & Affordable Housing,Equity & EJ","New legislation,Existing authority",Funding,"Fed/State Partners. ,Stimulus",DOE,Weatherization and Electrification Assistance Program (WEAP)_docx.pdf (https://dl.airtable.com/.attachments/19b91cd955fe19c40470a01302382e65/5f0a774f/WeatherizationandElectrificationAssistanceProgramWEAP_docx.pdf),
"Creation of Advanced Manufacturing Innovation Council (AMIC) and Expand Investment in the National Network of Manufacturing USA Institutes
","""Nabil Nasr, Ph.D."",""Bill Grieco, Ph.D."",""Kelvin Lee, Ph.D."",""Gary Fedder, Ph.D.""","REMADE Institute, RAPID Manufacturing Institute, NIIMBL, ARM Institute","Manufacturing & Onshoring,Innovation,Heavy Industry",Existing authority,Funding,,"DOE,OSTP,DOD,DOC",Creation of Advanced Manufacturing Innovation Council (AMIC) and Expand Investment in the National Network of Manufacturing USA Institutes.docx.pdf (https://dl.airtable.com/.attachments/73d29c83160f6f6d49e806af975ad1df/0968dce2/CreationofAdvancedManufacturingInnovationCouncilAMICandExpandInvestmentintheNationalNetworkofManufacturingUSAInstitutes.docx.pdf),
Energy Efficiency and Conservation Block Grants Program,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Energy,Buildings & Affordable Housing",New legislation,Funding,"Stimulus,Job Training,Potential Reconciliation",DOE,Energy Efficiency and Conservation Block Grants Program_docx.pdf (https://dl.airtable.com/.attachments/b3e23a81dd80d79c0f377b11c13b8809/7b1035df/EnergyEfficiencyandConservationBlockGrantsProgram_docx.pdf),
"Restructure Siloed DOE Renewable Energy Programs to a Coordinated Renewable Energy Innovation Initiative 
","""Nabil Nasr, Ph.D."",Edward Daniels",REMADE Institute,"Innovation,Energy,Manufacturing & Onshoring",Existing authority,No funding,,DOE,Restructure DOE Siloed Renewable Energy Programs to a Coordinated Renewable Energy Innovation Initiative .docx.pdf (https://dl.airtable.com/.attachments/5bf2bc65b02a2817d10b61f4c382f26b/50761751/RestructureDOESiloedRenewableEnergyProgramstoaCoordinatedRenewableEnergyInnovationInitiative.docx.pdf),
"Continued Federal Funding and Public-Private Partnership Model for DOE Manufacturing USA Institutes to Create Advanced Manufacturing Jobs and Drive Environmental Sustainability
","""Nabil Nasr, Ph.D."",""Bill Grieco, Ph.D."",John Dyck,""John Hopkins, Ph.D."",""Victor Veliadis, Ph.D.""","REMADE Institute, IACMI, CESMII, RAPID Manufacturing Institute, PowerAmerica","Manufacturing & Onshoring,Innovation,Heavy Industry",Existing authority,Funding,Pub/Priv Partners.,DOE,Continued Federal Funding and Public-Private Partnership Model for DOE Manufacturing USA Institutes to Create Advanced Manufacturing Jobs and Drive Environmental Sustainability.docx.pdf (https://dl.airtable.com/.attachments/33150091b7e54c976e591015d09ea3a6/0d19f58e/ContinuedFederalFundingandPublic-PrivatePartnershipModelforDOEManufacturingUSAInstitutestoCreateAdvancedManufacturingJobsandDriveEnvironmentalSustainability.docx.pdf),
"Making Technology Commercialization A Priority: Executive Branch Mandated Targets for Creating Startups Based on National Lab Technologies. 
",John Meissner,MXV Ventures,"Innovation,Energy","Existing authority,Executive order",No funding,Pub/Priv Partners.,"DOE,WH",Making Technology Commercialization A Priority_ Executive Branch Mandated Targets for Creating Startups Based on National Lab Technologies. .docx.pdf (https://dl.airtable.com/.attachments/b203ef03757d765f1ba4f81e8e8177fe/e390a12d/MakingTechnologyCommercializationAPriority_ExecutiveBranchMandatedTargetsforCreatingStartupsBasedonNationalLabTechnologies..docx.pdf),
"Secure U.S.-Origin Advanced Reactor Technology Through Pre-Emptive Pursuit of 123 Agreements with a Focus on Global Clean Energy Deployment
",MC Hammond,Clean Energy for Biden,"Energy,Manufacturing & Onshoring,Innovation",Existing authority,No funding,,"DOS,DOE",123 Agreements Through a Climate Lens.docx.pdf (https://dl.airtable.com/.attachments/88b92c4dcf6a515e16cab9e49ccb9bc6/a74a7d54/123AgreementsThroughaClimateLens.docx.pdf),
"Reforming the DOE Loan Program for Advanced Reactors: Funding Credit Subsidies and Expanding Authority to Manufacturing
",MC Hammond,Clean Energy for Biden,"Energy,Manufacturing & Onshoring,Innovation",Existing authority,Funding,,DOE,Reforming DOE Loan Program for Advanced Reactors.docx.pdf (https://dl.airtable.com/.attachments/ba214902971f03c8e5ce2bd732487aaa/351829bd/ReformingDOELoanProgramforAdvancedReactors.docx.pdf),
"Creating an Office of Just Energy Transition in the White House
","""Jeremy Richardson, Ph.D.""","Union of Concerned Scientists (submitting in personal capacity), ex-NASA ","Energy,Equity & EJ",Existing authority,Funding,Taskforce,"WH,CEQ",Creating an Office of Just Energy Transition in the White House.docx.pdf (https://dl.airtable.com/.attachments/2b3e51813ecf6c22a124cab088ff2d78/9aecad0d/CreatinganOfficeofJustEnergyTransitionintheWhiteHouse.docx.pdf),
Codifying Environmental Justice Principles and Defining Frontline Communities Executive Order,"Christina Bowman,Michael Bueno","ex-DOE, ex-EPA","Equity & EJ,Energy",Executive order,No funding,WH Press,"DOE,DOT,DOI,EPA,FERC,HUD,WH",Codifying Environmental Justice Principles and Defining Frontline Communities Executive Order.docx.pdf (https://dl.airtable.com/.attachments/3151534f51b6b640b91090f4d4d5cdcc/be1d34ef/CodifyingEnvironmentalJusticePrinciplesandDefiningFrontlineCommunitiesExecutiveOrder.docx.pdf),
"Reducing Costs of Electric Vehicle Charging Infrastructure
","""Natasha Vidangos, Ph.D.""","Clean Energy for Biden, ex-DOS","Auto & Transport,Energy","Existing authority,New legislation",Fund no-fund option,,"DOE,DOT",Reducing Costs of Electric Vehicle Charging Infrastructure.docx.pdf (https://dl.airtable.com/.attachments/0cff1075baa877f697dd45e4fd3cc3fe/1221a618/ReducingCostsofElectricVehicleChargingInfrastructure.docx.pdf),
"Automated vehicles for reduced emissions and improved equity
","""Kelly Fleming, Ph.D."",Kevin Vincent,Nathaniel Horadam,Robin Chase","Clean Energy for Biden, Center for Transportation and the Environment, ex-DOE","Auto & Transport,Energy","Existing authority,Executive order,New regulations,New legislation",Fund no-fund option,,"DOT,DOE,EPA,WH",Automated Vehicles for reduced emissions and improved equity.docx.pdf (https://dl.airtable.com/.attachments/81d67ca95bad28145b780babde9ab6d9/0bf7c580/AutomatedVehiclesforreducedemissionsandimprovedequity.docx.pdf),
Electric Vehicle Charging Funding to Accelerate Deployment,Josh Cohen,Greenlots (submitting in personal capacity),"Auto & Transport,Energy,Infrastructure",New legislation,Funding,Potential Reconciliation,"DOE,DOT",Electric Vehicle Charging Funding to Accelerate Deployment.docx.pdf (https://dl.airtable.com/.attachments/c2bacb8996612d52138835d897ff2169/b044babe/ElectricVehicleChargingFundingtoAccelerateDeployment.docx.pdf),
"Goal-Setting: Setting a bold yet achievable goal for EV charging station deployment to reclaim global leadership in electric transportation and climate action
",Josh Cohen,Greenlots (submitting in personal capacity),"Auto & Transport,Energy,Infrastructure",Existing authority,No funding,,WH,Goal-Setting_ Setting a bold yet achievable goal for EV charging station deployment to reclaim global leadership in electric transportation and climate action.docx.pdf (https://dl.airtable.com/.attachments/b9c73cdef5a93b6f53a000e194e8d094/8df76bb9/Goal-Setting_SettingaboldyetachievablegoalforEVchargingstationdeploymenttoreclaimgloballeadershipinelectrictransportationandclimateaction.docx.pdf),
Increase access to education at an affordable cost through federal legal framework for Income Share Agreements (“ISAs”)—S. 2114,"Jeffrey Groeber,Hillary Darnell",Leif Technologies Inc.,Equity & EJ,New legislation,No funding,Job Training,ED,Increase access to education at an affordable cost through federal legal framework for Income Share Agreements (“ISAs”)—S.2114. .docx.pdf (https://dl.airtable.com/.attachments/17cfed9b5f8fb1d97a4f52860d5c4d70/f21694d7/IncreaseaccesstoeducationatanaffordablecostthroughfederallegalframeworkforIncomeShareAgreementsISAsS.2114..docx.pdf),
"Create a Federal Civilian Resilient Infrastructure Corps
",Anonymous,Energy and environment professional,"Infrastructure,Energy,Auto & Transport","New legislation,Existing authority",Fund no-fund option,"Job Training,Potential Reconciliation,Resilience","FEMA,DOD,DOE,DOT,DOL,CEQ",Create a Federal Civilian Resilient Infrastructure Corps.docx.pdf (https://dl.airtable.com/.attachments/638122b59b38aaea4c7430b91bf2983f/85c5f2b2/CreateaFederalCivilianResilientInfrastructureCorps.docx.pdf),
"National Electric Transmission Superhighway - Leverage the successful CREZ model in Texas to create a strategic plan for national transmission, and explore and employ means of deploying federal funding for that plan","Vanessa Tutos,Caitlin Smith,Mike Sloan,Diana Rivera","Clean Energy for Biden, EDP Renewables, Virtus Energy, AB Power Advisors (submitting in personal capacity)","Energy,Infrastructure","New legislation,New regulations,Executive order",Funding,,"DOE,FERC,DOT,DOD,DHS",National Electric Transmission Superhighway.docx.pdf (https://dl.airtable.com/.attachments/e3b4e3472a3f0c1a5ebe14b0ab98d8ba/6aac4893/NationalElectricTransmissionSuperhighway.docx.pdf),
"Building Renovation Passports to support making the U.S. building stock carbon-neutral
","""Stefan Thomas, Ph.D.""","Wuppertal Institute for Climate, Energy, and Environment","Buildings & Affordable Housing,Energy","New legislation,Existing authority",Fund no-fund option,"Fed/State Partners. ,Job Training",DOE,Building Renovation Passports to support making the U.S. building stock carbon-neutral.docx.pdf (https://dl.airtable.com/.attachments/f742a6db9fd4f44dc0431d2f501deba5/c39e31c3/BuildingRenovationPassportstosupportmakingtheU.S.buildingstockcarbon-neutral.docx.pdf),
Fund the CNCS/AmeriCorps to Put Young People to Work in Fostering the Clean Energy Transition in School Communities,"Jonathan Klein,Jennifer Moses,Sara Ross",UndauntedK12,"Equity & EJ,Buildings & Affordable Housing,Infrastructure",Existing authority,Fund no-fund option,"Job Training,Stimulus","DOE,ED",Fund the CNCS_AmeriCorps to Put Young People to Work in Fostering the Clean Energy Transition in School Communities_docx.pdf (https://dl.airtable.com/.attachments/29a60fa39c244fc7451fbc35fd59ec87/2f6cdb6b/FundtheCNCS_AmeriCorpstoPutYoungPeopletoWorkinFosteringtheCleanEnergyTransitioninSchoolCommunities_docx.pdf),
"Organize the Department of Education to Lead on Climate Adaptation, Mitigation, Resilience, and Competitiveness for the Clean Energy Transition","Jonathan Klein,Jennifer Moses,Sara Ross",UndauntedK12,"Equity & EJ,Buildings & Affordable Housing,Infrastructure",Existing authority,No funding,Resilience,"DOE,ED","""Organize the Department of Education to Lead on Climate Adaptation, Mitigation, Resilience, and Competitiveness for the Clean Energy Transition_docx.pdf (https://dl.airtable.com/.attachments/1ad582dbb332a3d0fc5f720c61068eab/fcbdb47d/OrganizetheDepartmentofEducationtoLeadonClimateAdaptationMitigationResilienceandCompetitivenessfortheCleanEnergyTransition_docx.pdf)""",
Pass and Fully Fund the Reopen and Rebuild America’s Schools Act to Unleash the Power and Presence of K-12 in a First 100 Days Infrastructure Modernization Bill,"Jonathan Klein,Jennifer Moses,Sara Ross",UndauntedK12,"Buildings & Affordable Housing,Infrastructure,Equity & EJ",New legislation,Funding,"Stimulus,Potential Reconciliation","ED,DOE,EPA,HHS",Pass and Fully Fund the Reopen and Rebuild America’s Schools Act to Unleash the Power and Presence of K-12 in a First 100 Days Infrastructure Modernization Bill_docx.pdf (https://dl.airtable.com/.attachments/52d98076864b57e4eec4aa0bdba8009c/d2d5810c/PassandFullyFundtheReopenandRebuildAmericasSchoolsActtoUnleashthePowerandPresenceofK-12inaFirst100DaysInfrastructureModernizationBill_docx.pdf),2020-06-19 Reopen and Rebuild Americas Schools Act Fact Sheet (1).pdf (https://dl.airtable.com/.attachments/05407b71c3f341f7afd23a2d19de9c79/cbbf3f22/2020-06-19ReopenandRebuildAmericasSchoolsActFactSheet1.pdf)
"Aligning delivery of clean energy and economic recovery programs for low income communities  
","Christina Bowman,Becca Ward",Clean Energy for Biden,"Energy,Buildings & Affordable Housing,Equity & EJ",New legislation,No funding,,"DOE,HHS",Aligning delivery of clean energy and economic recovery programs for low income communities  .docx.pdf (https://dl.airtable.com/.attachments/3cddd9869ebb967cab65a8a19333468d/35855fbb/Aligningdeliveryofcleanenergyandeconomicrecoveryprogramsforlowincomecommunities.docx.pdf),
The True Cost of Consumer Products: labeling and transparency of social and environmental impacts to drive positive impact,Jason Kibbey,Higg Co,"Circular Economy  ,Manufacturing & Onshoring","New legislation,Existing authority",Fund no-fund option,,"FTC,EPA,DHS,DOE,DOL",The True Cost_ Labeling and Transparency of the Social and Environmental Impact of Consumers Driving Positive Impact.docx.pdf (https://dl.airtable.com/.attachments/85386851e2558b1e2255e09bc4875ef8/70a0ed40/TheTrueCost_LabelingandTransparencyoftheSocialandEnvironmentalImpactofConsumersDrivingPositiveImpact.docx.pdf),
"DOE to promote coordinated wholesale market opportunities, specifically in the South
","Simon Mahan,Vanessa Tutos,Rob Gramlich,Jeff Dennis","Southern Alliance for Clean Energy, Grid Strategies, Advanced Energy Economy, EDP Renwables, ex-FERC",Energy,Existing authority,Funding,Taskforce,"DOE,FERC,WH","""DOE to promote coordinated wholesale market opportunities, specifically in the South.docx.pdf (https://dl.airtable.com/.attachments/574f96b0f689946506d782de1ca7f422/f816882b/DOEtopromotecoordinatedwholesalemarketopportunitiesspecificallyintheSouth.docx.pdf)""",
"SuperCharge US: Spurring Domestic Advanced Battery Manufacturing


","Kate Frucher,Danny Kennedy,""Bill Acker, Ph.D.""","New Energy Nexus, The Clean Flight, NY BEST","Energy,Manufacturing & Onshoring,Innovation","New legislation,Existing authority",Fund no-fund option,Pub/Priv Partners.,DOC,SuperCharge US_ Spurring Domestic Advanced Battery Manufacturing.docx.pdf (https://dl.airtable.com/.attachments/909ddd3b743786abfa9f9850add5d50e/1846ceff/SuperChargeUS_SpurringDomesticAdvancedBatteryManufacturing.docx.pdf),"EU Battery Action Plan.pdf (https://dl.airtable.com/.attachments/54603c51d4d43aa37f5966f3e9dd645f/4b09c30a/EUBatteryActionPlan.pdf),SuperCharge Proposal FINAL.pdf (https://dl.airtable.com/.attachments/b01c55b19833a3a9f508f2d9ad51391d/76f6fcc9/SuperChargeProposalFINAL.pdf)"
"Develop electric vehicle charging stations in rural & disadvantaged neighborhoods to ensure equitable access, revitalize public transportation and create jobs
",Brian Fitzsimons,GridUnity,"Auto & Transport,Infrastructure,Equity & EJ",New legislation,Funding,,"DOC,DOT,DOE","""Develop electric vehicle charging stations in rural & disadvantaged neighborhoods to ensure equitable access, revitalize public transportation and create jobs (1).pdf (https://dl.airtable.com/.attachments/f1a614afb30ecd07d7fa33eac09435df/8fe6e0c4/Developelectricvehiclechargingstationsinruraldisadvantagedneighborhoodstoensureequitableaccessrevitalizepublictransportationandcreatejobs1.pdf)""",
"Performance-based utility rates align utility revenue with the achievement of policy objectives 
","Vanessa Tutos,Nisha Desai,Robert King,Steve Krebs,Caitlin Smith","Clean Energy for Biden, EDP Renewables, Good Company Associates, CleanShare, Ennuity Holdings, AB Power Advisors (submitting in personal capacity)",Energy,Existing authority,No funding,,"DOE,FERC",Performance-based utility rates align utility revenue with the achievement of policy objectives .docx.pdf (https://dl.airtable.com/.attachments/e13c5a70d111649460ec037874a0ad5c/3ab2894a/Performance-basedutilityratesalignutilityrevenuewiththeachievementofpolicyobjectives.docx.pdf),
"Utilize FERC authority to increase competitiveness in the wholesale electric market  
","Vanessa Tutos,Steve Krebs,Nisha Desai,Caitlin Smith,Simon Mahan,David Mindham","Clean Energy for Biden, EDP Renewables, Ennuity Holdings, Southern Renewable Energy Association, AB Power Advisors (submitting in personal capacity)",Energy,"Existing authority,New regulations",No funding,,FERC,Utilize FERC authority to increase competitiveness in the wholesale electric market  .docx.pdf (https://dl.airtable.com/.attachments/b4405a7cb0fa435061f49f5abef65ac8/516b165b/UtilizeFERCauthoritytoincreasecompetitivenessinthewholesaleelectricmarket.docx.pdf),
"Mission Critical Facilities Renewal Program
","Timothy Unruh,Joseph Womble,Ben Evans,Jennifer Schafer","NAESCO, Alliance to Save Energy, Federal Performance Contracting Coalition","Buildings & Affordable Housing,Energy",New legislation,Fund no-fund option,"Stimulus,Pub/Priv Partners.,Potential Reconciliation,Resilience","DOE,DOD,GSA","Mission Critical Facilities Renewal .pdf (https://dl.airtable.com/.attachments/808adc4d99422e2d3ec7ca4949020049/3b3e8b8e/MissionCriticalFacilitiesRenewal.pdf),Mission Critical Facility Renewal Program.docx.pdf (https://dl.airtable.com/.attachments/88fbce0b34a077061dc95b626e8de06a/eb0d1e6a/MissionCriticalFacilityRenewalProgram.docx.pdf)",
Emissions Standards for New and In-Use Aircraft and Aircraft Engines,Jennifer Macedonia,"Clean Energy for Biden, JLM Environmental Consulting, ex-EPA","Auto & Transport,Energy,Infrastructure","New legislation,New regulations,Existing authority",No funding,,"EPA,DOT",Emissions Standards for New and In-Use Aircraft and Aircraft Engines_docx.pdf (https://dl.airtable.com/.attachments/def8ef15bbce7edade23590c4c6218d9/c6bd8f29/EmissionsStandardsforNewandIn-UseAircraftandAircraftEngines_docx.pdf),
"Expand regulatory pathways and fund research and development for next-generation zero-emissions aviation technologies
","Jennifer Macedonia,Carl Lenox,Madison Freeman","Clean Energy for Biden, JLM Environmental Consulting, Energy Impact Partners, Total (submitting in personal capacity), Open Innovation, ex-EPA","Energy,Infrastructure,Shipping & Aviation",New legislation,Fund no-fund option,Potential Reconciliation,"DOT,DOE",Expand regulatory pathways and fund research and development for next-generation zero-emissions aviation technologies_docx.pdf (https://dl.airtable.com/.attachments/c9dac0059762f2c1d597431dac66526d/f086403f/Expandregulatorypathwaysandfundresearchanddevelopmentfornext-generationzero-emissionsaviationtechnologies_docx.pdf),
"Repeal Executive Order 13950: Combating Race and Sex Stereotyping
",Anna Lising,Clean Energy for Biden,Equity & EJ,Executive order,No funding,WH Press,WH,Repeal Executive Order 13950_ Combating Race and Sex Stereotyping.docx.pdf (https://dl.airtable.com/.attachments/20cb1c88abfc758ef9ba199cbccd0777/9fe6af3a/RepealExecutiveOrder13950_CombatingRaceandSexStereotyping.docx.pdf),
"Civilian Climate Corps – Create a Building Retrofit Division Focused on Low-Income Residential and Small Commercial Properties
",Sara Neff,Kilroy Realty Corporation,"Energy,Buildings & Affordable Housing,Equity & EJ",New legislation,Funding,"Job Training,Potential Reconciliation","DOE,EPA,HUD",Civilian Climate Corps – Create a Building Retrofit Division Focused on Low-Income Residential and Small Commercial Properties_docx.pdf (https://dl.airtable.com/.attachments/619b0b7ac0907eb3b6674ad1af593617/647f4cc8/CivilianClimateCorpsCreateaBuildingRetrofitDivisionFocusedonLow-IncomeResidentialandSmallCommercialProperties_docx.pdf),
Sunshot 2.0: Ensure US market leadership in Green Hydrogen,Kieran Coleman,"COP Climate Action Champions, Rocky Mountain Institute (submitting in personal capacity)","Energy,Auto & Transport,Manufacturing & Onshoring",Existing authority,Fund no-fund option,Taskforce,"DOE,DOT,DOC,EPA,USDA,WH","""Sunshot 2.0, Ensure US market leadership in Green Hydrogen.pdf (https://dl.airtable.com/.attachments/c2b8a7bddf3b53cf56bfbb094a838308/497b0488/Sunshot2.0EnsureUSmarketleadershipinGreenHydrogen.pdf)""",
"Companies Convene for Net Zero Summit
","Elizabeth Sturcken,Betty Cremmins,Tim Carey,Jonathan Atwood,Lou Leonard","Environmental Defense Fund, World Economic Forum, Chatham University, PepsiCo, UniLever, ex-DOI (all submitting in personal capacity)","Energy,Manufacturing & Onshoring,Circular Economy  ",Existing authority,No funding,"Challenges/Awards,WH Press",WH,Companies Convene for Net Zero Summit.docx.pdf (https://dl.airtable.com/.attachments/e8ec7a5c7ec538254233f38638a40799/8c35d4f0/CompaniesConveneforNetZeroSummit.docx.pdf),
"A Just Transition for Coal Country: Beyond Economic Recovery to Zero Carbon Economic Revival
",Karl Zammit-Maempel,COP Climate Action Champions (submitting in personal capacity),"Energy,Equity & EJ",Existing authority,Fund no-fund option,"Taskforce,Job Training","WH,CEQ,DOL,DOE,ED",A Just Transition for Coal Country_ Beyond Economic Recovery to Zero Carbon Economic Revival.pdf (https://dl.airtable.com/.attachments/6a919b51e5f3f60290de7d1d8d7d38b1/31fba01b/AJustTransitionforCoalCountry_BeyondEconomicRecoverytoZeroCarbonEconomicRevival.pdf),
"US steps up to fill leadership vacuum in International Maritime Organization, sets and pushes for Paris aligned targets and regulation
","Peder Osterkamp,""Tristan Smith, Ph.D."",""Domagoj Baresic, Ph.D.""","COP Climate Action Champions, University College London (all submitting in personal capacity)","Auto & Transport,Energy,Infrastructure",Existing authority,No funding,"International Partners.,Taskforce","WH,DOS,DOT,EPA,USCG","""US steps up to fill leadership vacuum in International Maritime Organization, sets and pushes for Paris aligned targets and regulation.pdf (https://dl.airtable.com/.attachments/23bbfce506e5dd240b53a1bc6de150ef/709c43f0/USstepsuptofillleadershipvacuuminInternationalMaritimeOrganizationsetsandpushesforParisalignedtargetsandregulation.pdf)""",
"Green shipping and ports policies to decarbonize domestic shipping and improve air quality
","Peder Osterkamp,""Tristan Smith, Ph.D."",""Domagoj Baresic, Ph.D.""","COP Climate Action Champions, University College London (all submitting in personal capacity)","Energy,Shipping & Aviation,Infrastructure","Existing authority,New legislation",Fund no-fund option,Taskforce,"DOT,EPA,USCG,WH",Green shipping and ports policies to decarbonize domestic shipping and improve air quality.pdf (https://dl.airtable.com/.attachments/42d056d6f28f794a2af759ca7b0c6b41/433ae2bb/Greenshippingandportspoliciestodecarbonizedomesticshippingandimproveairquality.pdf),
"Galvanize US Non-state Actors to Lead the Race to Zero 
",Jennifer Austin,"COP Climate Action Champions, ex-DOS (submitting in personal capacity)","Energy,Circular Economy  ,Manufacturing & Onshoring",Existing authority,No funding,"WH Press,Challenges/Awards","WH,CEQ,EPA,DOT,DOC,DOE,USDA",Galvanize US Nonstate Actors to Lead_Win the Race to Zero  (1).pdf (https://dl.airtable.com/.attachments/f2e895f1ad28402c5ed21e5fd59cedc7/3e6c26ca/GalvanizeUSNonstateActorstoLead_WintheRacetoZero1.pdf),
Executive Order to Accelerate Commercial PACE (C-PACE) Investment in Multifamily and Healthcare Sectors,"Bracken Hendricks,Jessica Bailey,Bali Kumar,Ashok Gupta,Colin Bishopp","Urban Ingenuity, Evergreen Action, Greenworks Lending, NRDC, PACENation, PACE Loans Group, ex-DOE","Buildings & Affordable Housing,Equity & EJ,Energy",Executive order,No funding,,"HUD,SBA,USDA,TREAS,WH",Executive Order to Accelerate Commercial PACE (C-PACE) Investment in Multifamily and Healthcare Sectors.docx.pdf (https://dl.airtable.com/.attachments/44c32bce6e49305651f35539c6d3e8da/846f487f/ExecutiveOrdertoAccelerateCommercialPACEC-PACEInvestmentinMultifamilyandHealthcareSectors.docx.pdf),
"A Manufacturer’s Variable Fee to Reduce Waste, Increase Durability and Advance a Circular Economy
",Heidi VanGenderen,ex-DOE,"Circular Economy  ,Manufacturing & Onshoring",New legislation,No funding,,"EPA,DOC,DOT,DOE,FTC","""A Manufacturer’s Variable Fee to Reduce Waste, Increase Durability and Advance a Circular Economy.docx (1).pdf (https://dl.airtable.com/.attachments/c58306d551fc65e8e9008ae5fc225915/0d98cc22/AManufacturersVariableFeetoReduceWasteIncreaseDurabilityandAdvanceaCircularEconomy.docx1.pdf)""",
"Green Mobility Resilience Hub Program
","Haley Rubinson,Daniella Henry",Revel,Auto & Transport,Existing authority,No funding,"Resilience,Pub/Priv Partners.","FEMA,DOT",Green Mobility Resilience Hub Program.docx (1).pdf (https://dl.airtable.com/.attachments/b9de232651ecfc748ed158552f863a19/c1de32ed/GreenMobilityResilienceHubProgram.docx1.pdf),
Incorporate Tree Equity Score into existing federal environmental justice mapping platforms to ensure equitable investment in tree planting and care,Leslie Jones,"American Forests, ex-USDA","Equity & EJ,Conservation & Ag.,Infrastructure",Existing authority,No funding,,"EPA,USDA,DOI,HUD,DOT,HHS,CEQ,DOC","""Tree Equity Score_ A new tool to create Tree Equity by dramatically increasing tree planting and tree care and targeting this investment so that every neighborhood can share in benefits like cleaner air, regardless of income or race_ _docx.pdf (https://dl.airtable.com/.attachments/0e7a8ae206ace5e3f1eee94357d640d3/c15d7a0a/TreeEquityScore_AnewtooltocreateTreeEquitybydramaticallyincreasingtreeplantingandtreecareandtargetingthisinvestmentsothateveryneighborhoodcanshareinbenefitslikecleanerairregardlessofincomeorrace__docx.pdf)""",
